Question,Response,Emotion,Dialogue Act,Conversation Type
"I heard you got a new job, how is it going?","Yes, it's beautiful! You should definitely visit.",surprise,commissive,relationship
Why didn't you call me back last night?,It's challenging but rewarding.,happiness,inform,culture & education
What are your plans for the weekend?,"I'm thinking of a road trip, actually.",happiness,commissive,work
What's been bothering you lately?,"Honestly, I think it's going to change a lot of things.",disgust,inform,work
What's been bothering you lately?,"Honestly, I think it's going to change a lot of things.",disgust,commissive,politics
What are your plans for the weekend?,"I'm really sorry, something came up.",disgust,directive,finance
"I am thinking of learning a new language, any suggestions?","Yes, it's beautiful! You should definitely visit.",sadness,inform,health
Have you ever been to Paris?,I'd say start with something like Spanish.,sadness,inform,health
"I am thinking of learning a new language, any suggestions?","Yes, it's beautiful! You should definitely visit.",sadness,commissive,school life
What's been bothering you lately?,"If we push hard, we definitely can.",anger,inform,tourism
Have you ever been to Paris?,I'd say start with something like Spanish.,sadness,commissive,school life
Do you think we'll finish this task on time?,I'd say start with something like Spanish.,disgust,directive,ordinary life
Could you share your thoughts on the recent elections?,"I'm not sure, maybe it's just stress.",fear,question,ordinary life
What's been bothering you lately?,I've just had a lot on my mind recently.,happiness,commissive,school life
Can we talk about that project now?,"If we push hard, we definitely can.",surprise,inform,relationship
"I am thinking of learning a new language, any suggestions?","Honestly, I think it's going to change a lot of things.",disgust,inform,relationship
Do you think we'll finish this task on time?,It's challenging but rewarding.,disgust,commissive,relationship
Why do you seem so distant these days?,"Yes, it's beautiful! You should definitely visit.",sadness,commissive,tourism
Why do you seem so distant these days?,"Yes, it's beautiful! You should definitely visit.",sadness,inform,school life
Can we talk about that project now?,"Yes, it's beautiful! You should definitely visit.",anger,question,culture & education
Have you ever been to Paris?,"Sure, let's go over the details.",fear,directive,ordinary life
Have you ever been to Paris?,"Sure, let's go over the details.",anger,question,tourism
What's been bothering you lately?,I'd say start with something like Spanish.,disgust,commissive,relationship
"I heard you got a new job, how is it going?","Sure, let's go over the details.",happiness,question,health
Why didn't you call me back last night?,"I'm not sure, maybe it's just stress.",surprise,question,work
Have you ever been to Paris?,I'd say start with something like Spanish.,surprise,directive,school life
Could you share your thoughts on the recent elections?,"Sure, let's go over the details.",anger,commissive,health
Do you think we'll finish this task on time?,"Yes, it's beautiful! You should definitely visit.",surprise,inform,finance
Could you share your thoughts on the recent elections?,"Sure, let's go over the details.",surprise,commissive,ordinary life
"I heard you got a new job, how is it going?","Yes, it's beautiful! You should definitely visit.",happiness,question,politics
Have you ever been to Paris?,"Yes, it's beautiful! You should definitely visit.",fear,commissive,work
"I heard you got a new job, how is it going?","I'm really sorry, something came up.",sadness,inform,finance
"I heard you got a new job, how is it going?",It's challenging but rewarding.,happiness,question,school life
Do you think we'll finish this task on time?,"I'm really sorry, something came up.",fear,directive,tourism
What's been bothering you lately?,"Sure, let's go over the details.",disgust,question,relationship
Could you share your thoughts on the recent elections?,It's challenging but rewarding.,disgust,directive,politics
Have you ever been to Paris?,It's challenging but rewarding.,surprise,directive,ordinary life
Do you think we'll finish this task on time?,"Yes, it's beautiful! You should definitely visit.",sadness,directive,relationship
What are your plans for the weekend?,It's challenging but rewarding.,surprise,directive,finance
Do you think we'll finish this task on time?,I'd say start with something like Spanish.,disgust,inform,relationship
Can we talk about that project now?,"I'm not sure, maybe it's just stress.",disgust,question,relationship
Could you share your thoughts on the recent elections?,"I'm thinking of a road trip, actually.",sadness,inform,attitude & emotion
"I am thinking of learning a new language, any suggestions?","I'm thinking of a road trip, actually.",anger,directive,work
"I heard you got a new job, how is it going?","I'm really sorry, something came up.",surprise,directive,tourism
Have you ever been to Paris?,"Sure, let's go over the details.",fear,inform,relationship
What are your plans for the weekend?,"I'm thinking of a road trip, actually.",sadness,commissive,attitude & emotion
Why didn't you call me back last night?,It's challenging but rewarding.,disgust,question,politics
What's been bothering you lately?,"Sure, let's go over the details.",happiness,commissive,ordinary life
"I heard you got a new job, how is it going?",It's challenging but rewarding.,sadness,commissive,ordinary life
Could you share your thoughts on the recent elections?,"Honestly, I think it's going to change a lot of things.",anger,directive,ordinary life
"I am thinking of learning a new language, any suggestions?","Honestly, I think it's going to change a lot of things.",sadness,directive,culture & education
"I heard you got a new job, how is it going?","Honestly, I think it's going to change a lot of things.",disgust,commissive,health
Why do you seem so distant these days?,"I'm really sorry, something came up.",anger,commissive,culture & education
"I am thinking of learning a new language, any suggestions?","Yes, it's beautiful! You should definitely visit.",happiness,directive,health
Have you ever been to Paris?,"I'm not sure, maybe it's just stress.",sadness,commissive,ordinary life
"I heard you got a new job, how is it going?",I've just had a lot on my mind recently.,disgust,inform,finance
"I am thinking of learning a new language, any suggestions?","Yes, it's beautiful! You should definitely visit.",fear,commissive,school life
What are your plans for the weekend?,"Yes, it's beautiful! You should definitely visit.",surprise,question,health
Why didn't you call me back last night?,"I'm thinking of a road trip, actually.",fear,commissive,ordinary life
What's been bothering you lately?,"I'm really sorry, something came up.",fear,inform,finance
Why do you seem so distant these days?,"Yes, it's beautiful! You should definitely visit.",fear,commissive,tourism
Do you think we'll finish this task on time?,I'd say start with something like Spanish.,sadness,question,finance
"I am thinking of learning a new language, any suggestions?","If we push hard, we definitely can.",disgust,inform,school life
Could you share your thoughts on the recent elections?,I'd say start with something like Spanish.,anger,inform,health
What's been bothering you lately?,"If we push hard, we definitely can.",anger,inform,work
What are your plans for the weekend?,It's challenging but rewarding.,fear,commissive,finance
"I heard you got a new job, how is it going?",I'd say start with something like Spanish.,sadness,inform,ordinary life
Do you think we'll finish this task on time?,"If we push hard, we definitely can.",surprise,commissive,school life
What's been bothering you lately?,"Honestly, I think it's going to change a lot of things.",sadness,inform,health
Why do you seem so distant these days?,"I'm not sure, maybe it's just stress.",anger,commissive,politics
Have you ever been to Paris?,"Sure, let's go over the details.",sadness,commissive,attitude & emotion
Why do you seem so distant these days?,I'd say start with something like Spanish.,disgust,directive,finance
Have you ever been to Paris?,"I'm not sure, maybe it's just stress.",anger,directive,politics
Do you think we'll finish this task on time?,I'd say start with something like Spanish.,sadness,directive,culture & education
Why didn't you call me back last night?,"Yes, it's beautiful! You should definitely visit.",fear,inform,finance
What's been bothering you lately?,"If we push hard, we definitely can.",fear,directive,school life
Could you share your thoughts on the recent elections?,"Honestly, I think it's going to change a lot of things.",anger,inform,relationship
Why do you seem so distant these days?,"I'm not sure, maybe it's just stress.",surprise,commissive,finance
Do you think we'll finish this task on time?,"Yes, it's beautiful! You should definitely visit.",sadness,inform,politics
Why do you seem so distant these days?,"Yes, it's beautiful! You should definitely visit.",sadness,commissive,work
"I am thinking of learning a new language, any suggestions?",I've just had a lot on my mind recently.,disgust,commissive,politics
Have you ever been to Paris?,"Honestly, I think it's going to change a lot of things.",anger,commissive,tourism
Can we talk about that project now?,"If we push hard, we definitely can.",disgust,question,finance
Can we talk about that project now?,It's challenging but rewarding.,disgust,directive,politics
Have you ever been to Paris?,"Sure, let's go over the details.",anger,question,work
What are your plans for the weekend?,I'd say start with something like Spanish.,disgust,directive,attitude & emotion
What are your plans for the weekend?,"Sure, let's go over the details.",anger,commissive,tourism
"I heard you got a new job, how is it going?","If we push hard, we definitely can.",surprise,question,finance
Can we talk about that project now?,"If we push hard, we definitely can.",disgust,directive,culture & education
What are your plans for the weekend?,"Sure, let's go over the details.",fear,question,school life
Can we talk about that project now?,"I'm really sorry, something came up.",fear,question,work
"I heard you got a new job, how is it going?","I'm not sure, maybe it's just stress.",sadness,commissive,finance
Could you share your thoughts on the recent elections?,It's challenging but rewarding.,fear,inform,ordinary life
"I am thinking of learning a new language, any suggestions?","I'm not sure, maybe it's just stress.",surprise,question,school life
Do you think we'll finish this task on time?,"I'm really sorry, something came up.",fear,directive,work
What are your plans for the weekend?,"I'm not sure, maybe it's just stress.",disgust,directive,work
Why do you seem so distant these days?,"I'm not sure, maybe it's just stress.",fear,directive,health
What are your plans for the weekend?,It's challenging but rewarding.,fear,question,tourism
"I am thinking of learning a new language, any suggestions?",It's challenging but rewarding.,surprise,inform,culture & education
Why didn't you call me back last night?,"I'm not sure, maybe it's just stress.",sadness,inform,culture & education
"I heard you got a new job, how is it going?","If we push hard, we definitely can.",disgust,commissive,finance
Can we talk about that project now?,It's challenging but rewarding.,anger,directive,culture & education
Can we talk about that project now?,"Sure, let's go over the details.",sadness,directive,politics
Have you ever been to Paris?,I've just had a lot on my mind recently.,surprise,directive,ordinary life
Why do you seem so distant these days?,"Honestly, I think it's going to change a lot of things.",sadness,directive,work
Can we talk about that project now?,I'd say start with something like Spanish.,anger,inform,health
Have you ever been to Paris?,"I'm not sure, maybe it's just stress.",sadness,directive,health
"I am thinking of learning a new language, any suggestions?","If we push hard, we definitely can.",happiness,inform,culture & education
Do you think we'll finish this task on time?,I'd say start with something like Spanish.,fear,question,finance
Can we talk about that project now?,I'd say start with something like Spanish.,surprise,inform,ordinary life
"I heard you got a new job, how is it going?",I've just had a lot on my mind recently.,happiness,commissive,culture & education
"I heard you got a new job, how is it going?","I'm thinking of a road trip, actually.",surprise,directive,health
"I heard you got a new job, how is it going?","I'm really sorry, something came up.",sadness,question,politics
What's been bothering you lately?,I've just had a lot on my mind recently.,anger,question,ordinary life
Why do you seem so distant these days?,"Yes, it's beautiful! You should definitely visit.",fear,commissive,work
Have you ever been to Paris?,"I'm not sure, maybe it's just stress.",disgust,directive,tourism
Do you think we'll finish this task on time?,"Yes, it's beautiful! You should definitely visit.",fear,commissive,relationship
"I heard you got a new job, how is it going?","If we push hard, we definitely can.",disgust,question,tourism
What's been bothering you lately?,"Yes, it's beautiful! You should definitely visit.",anger,directive,health
"I heard you got a new job, how is it going?","Honestly, I think it's going to change a lot of things.",anger,directive,relationship
Do you think we'll finish this task on time?,"I'm thinking of a road trip, actually.",fear,directive,politics
"I heard you got a new job, how is it going?",I've just had a lot on my mind recently.,surprise,commissive,relationship
Why didn't you call me back last night?,"Yes, it's beautiful! You should definitely visit.",anger,question,attitude & emotion
What's been bothering you lately?,"Yes, it's beautiful! You should definitely visit.",surprise,directive,ordinary life
Why didn't you call me back last night?,I'd say start with something like Spanish.,sadness,question,tourism
Have you ever been to Paris?,"Honestly, I think it's going to change a lot of things.",anger,commissive,work
Why do you seem so distant these days?,"Sure, let's go over the details.",happiness,inform,ordinary life
Could you share your thoughts on the recent elections?,"Yes, it's beautiful! You should definitely visit.",happiness,question,ordinary life
"I am thinking of learning a new language, any suggestions?","I'm not sure, maybe it's just stress.",happiness,inform,health
Do you think we'll finish this task on time?,"If we push hard, we definitely can.",disgust,inform,relationship
Could you share your thoughts on the recent elections?,"Sure, let's go over the details.",fear,directive,health
What's been bothering you lately?,"I'm really sorry, something came up.",anger,inform,attitude & emotion
Why do you seem so distant these days?,"Honestly, I think it's going to change a lot of things.",fear,commissive,tourism
What's been bothering you lately?,"Yes, it's beautiful! You should definitely visit.",happiness,inform,culture & education
"I am thinking of learning a new language, any suggestions?",I've just had a lot on my mind recently.,sadness,inform,health
Why do you seem so distant these days?,"Honestly, I think it's going to change a lot of things.",fear,inform,school life
Why didn't you call me back last night?,"If we push hard, we definitely can.",happiness,directive,ordinary life
What are your plans for the weekend?,"Honestly, I think it's going to change a lot of things.",happiness,question,attitude & emotion
Why do you seem so distant these days?,"I'm not sure, maybe it's just stress.",anger,inform,tourism
What's been bothering you lately?,"I'm thinking of a road trip, actually.",anger,directive,tourism
"I heard you got a new job, how is it going?","If we push hard, we definitely can.",sadness,question,ordinary life
What are your plans for the weekend?,"I'm thinking of a road trip, actually.",anger,question,school life
"I heard you got a new job, how is it going?","Honestly, I think it's going to change a lot of things.",surprise,question,finance
What are your plans for the weekend?,It's challenging but rewarding.,fear,question,work
What's been bothering you lately?,I've just had a lot on my mind recently.,happiness,commissive,finance
Why didn't you call me back last night?,"Yes, it's beautiful! You should definitely visit.",surprise,commissive,politics
What's been bothering you lately?,"Yes, it's beautiful! You should definitely visit.",surprise,inform,relationship
Why do you seem so distant these days?,"I'm thinking of a road trip, actually.",fear,question,relationship
Could you share your thoughts on the recent elections?,"I'm really sorry, something came up.",anger,inform,culture & education
Do you think we'll finish this task on time?,"Honestly, I think it's going to change a lot of things.",fear,directive,relationship
Do you think we'll finish this task on time?,I've just had a lot on my mind recently.,disgust,inform,attitude & emotion
What are your plans for the weekend?,"Honestly, I think it's going to change a lot of things.",sadness,directive,tourism
Do you think we'll finish this task on time?,It's challenging but rewarding.,anger,inform,school life
"I heard you got a new job, how is it going?","Honestly, I think it's going to change a lot of things.",anger,inform,politics
Could you share your thoughts on the recent elections?,I'd say start with something like Spanish.,disgust,inform,culture & education
Why didn't you call me back last night?,"If we push hard, we definitely can.",happiness,inform,relationship
What's been bothering you lately?,I'd say start with something like Spanish.,happiness,inform,health
Can we talk about that project now?,"Sure, let's go over the details.",anger,commissive,attitude & emotion
What are your plans for the weekend?,"I'm thinking of a road trip, actually.",happiness,question,politics
Could you share your thoughts on the recent elections?,"I'm not sure, maybe it's just stress.",sadness,inform,attitude & emotion
"I am thinking of learning a new language, any suggestions?",I'd say start with something like Spanish.,disgust,directive,relationship
Why do you seem so distant these days?,"I'm not sure, maybe it's just stress.",disgust,inform,ordinary life
Could you share your thoughts on the recent elections?,It's challenging but rewarding.,fear,question,health
Have you ever been to Paris?,"Sure, let's go over the details.",happiness,question,health
Do you think we'll finish this task on time?,"I'm thinking of a road trip, actually.",disgust,question,ordinary life
Do you think we'll finish this task on time?,"Sure, let's go over the details.",sadness,commissive,tourism
Can we talk about that project now?,"Honestly, I think it's going to change a lot of things.",surprise,question,culture & education
Can we talk about that project now?,I've just had a lot on my mind recently.,surprise,commissive,finance
Why didn't you call me back last night?,"Honestly, I think it's going to change a lot of things.",anger,directive,school life
What's been bothering you lately?,"Yes, it's beautiful! You should definitely visit.",sadness,question,attitude & emotion
Why didn't you call me back last night?,"Sure, let's go over the details.",fear,inform,politics
Why didn't you call me back last night?,It's challenging but rewarding.,sadness,directive,attitude & emotion
Can we talk about that project now?,"I'm not sure, maybe it's just stress.",sadness,commissive,politics
What are your plans for the weekend?,"If we push hard, we definitely can.",fear,inform,finance
Why didn't you call me back last night?,I'd say start with something like Spanish.,sadness,question,work
Why do you seem so distant these days?,"Yes, it's beautiful! You should definitely visit.",disgust,directive,health
Have you ever been to Paris?,I've just had a lot on my mind recently.,disgust,question,finance
What are your plans for the weekend?,I'd say start with something like Spanish.,fear,inform,politics
Why didn't you call me back last night?,"I'm really sorry, something came up.",anger,commissive,politics
"I am thinking of learning a new language, any suggestions?",I've just had a lot on my mind recently.,happiness,question,attitude & emotion
Why do you seem so distant these days?,"Sure, let's go over the details.",disgust,question,attitude & emotion
Why do you seem so distant these days?,"Honestly, I think it's going to change a lot of things.",fear,commissive,work
"I heard you got a new job, how is it going?","I'm really sorry, something came up.",disgust,directive,attitude & emotion
Why do you seem so distant these days?,"I'm not sure, maybe it's just stress.",anger,inform,work
Could you share your thoughts on the recent elections?,"I'm thinking of a road trip, actually.",anger,directive,ordinary life
What are your plans for the weekend?,"I'm really sorry, something came up.",happiness,inform,tourism
Could you share your thoughts on the recent elections?,"I'm not sure, maybe it's just stress.",surprise,directive,health
Why do you seem so distant these days?,It's challenging but rewarding.,anger,question,culture & education
Have you ever been to Paris?,"I'm really sorry, something came up.",surprise,commissive,relationship
What's been bothering you lately?,"I'm thinking of a road trip, actually.",anger,directive,work
Why didn't you call me back last night?,"Honestly, I think it's going to change a lot of things.",anger,question,attitude & emotion
What's been bothering you lately?,"Sure, let's go over the details.",sadness,inform,attitude & emotion
Do you think we'll finish this task on time?,"If we push hard, we definitely can.",disgust,commissive,attitude & emotion
"I am thinking of learning a new language, any suggestions?",I'd say start with something like Spanish.,disgust,inform,politics
Do you think we'll finish this task on time?,I'd say start with something like Spanish.,surprise,commissive,politics
What's been bothering you lately?,"If we push hard, we definitely can.",fear,directive,finance
"I am thinking of learning a new language, any suggestions?","Sure, let's go over the details.",happiness,commissive,finance
"I heard you got a new job, how is it going?","If we push hard, we definitely can.",fear,inform,ordinary life
Have you ever been to Paris?,"Honestly, I think it's going to change a lot of things.",fear,question,school life
Why do you seem so distant these days?,"Yes, it's beautiful! You should definitely visit.",happiness,directive,health
Could you share your thoughts on the recent elections?,"I'm not sure, maybe it's just stress.",happiness,directive,attitude & emotion
Why didn't you call me back last night?,I've just had a lot on my mind recently.,sadness,commissive,relationship
"I heard you got a new job, how is it going?",I'd say start with something like Spanish.,fear,commissive,school life
What's been bothering you lately?,"I'm not sure, maybe it's just stress.",disgust,question,tourism
"I am thinking of learning a new language, any suggestions?",I'd say start with something like Spanish.,anger,question,culture & education
What are your plans for the weekend?,"Sure, let's go over the details.",anger,inform,finance
Do you think we'll finish this task on time?,"I'm really sorry, something came up.",disgust,question,school life
Do you think we'll finish this task on time?,It's challenging but rewarding.,fear,directive,health
Do you think we'll finish this task on time?,"Yes, it's beautiful! You should definitely visit.",disgust,question,culture & education
Do you think we'll finish this task on time?,"I'm really sorry, something came up.",happiness,question,tourism
What are your plans for the weekend?,I've just had a lot on my mind recently.,surprise,inform,politics
Why do you seem so distant these days?,I've just had a lot on my mind recently.,anger,question,culture & education
Could you share your thoughts on the recent elections?,"I'm thinking of a road trip, actually.",anger,inform,relationship
"I am thinking of learning a new language, any suggestions?","I'm really sorry, something came up.",surprise,directive,health
Do you think we'll finish this task on time?,"If we push hard, we definitely can.",happiness,commissive,health
Do you think we'll finish this task on time?,"Sure, let's go over the details.",sadness,commissive,work
"I am thinking of learning a new language, any suggestions?","If we push hard, we definitely can.",surprise,directive,ordinary life
"I am thinking of learning a new language, any suggestions?","I'm thinking of a road trip, actually.",surprise,commissive,school life
"I am thinking of learning a new language, any suggestions?","Sure, let's go over the details.",happiness,question,tourism
Do you think we'll finish this task on time?,"I'm not sure, maybe it's just stress.",surprise,inform,culture & education
Why do you seem so distant these days?,"I'm really sorry, something came up.",surprise,directive,school life
Do you think we'll finish this task on time?,"I'm not sure, maybe it's just stress.",sadness,inform,school life
"I am thinking of learning a new language, any suggestions?","I'm really sorry, something came up.",happiness,directive,attitude & emotion
Why do you seem so distant these days?,"Yes, it's beautiful! You should definitely visit.",sadness,question,politics
What are your plans for the weekend?,I've just had a lot on my mind recently.,disgust,commissive,ordinary life
Could you share your thoughts on the recent elections?,"Honestly, I think it's going to change a lot of things.",fear,inform,tourism
Could you share your thoughts on the recent elections?,"If we push hard, we definitely can.",surprise,question,school life
Can we talk about that project now?,"Yes, it's beautiful! You should definitely visit.",disgust,directive,health
Can we talk about that project now?,"Honestly, I think it's going to change a lot of things.",happiness,commissive,relationship
What are your plans for the weekend?,"If we push hard, we definitely can.",anger,question,attitude & emotion
Do you think we'll finish this task on time?,It's challenging but rewarding.,surprise,question,school life
Can we talk about that project now?,I've just had a lot on my mind recently.,happiness,inform,school life
What's been bothering you lately?,I'd say start with something like Spanish.,surprise,question,school life
Could you share your thoughts on the recent elections?,I've just had a lot on my mind recently.,surprise,directive,attitude & emotion
Why do you seem so distant these days?,It's challenging but rewarding.,surprise,inform,culture & education
"I heard you got a new job, how is it going?","Yes, it's beautiful! You should definitely visit.",fear,question,finance
Have you ever been to Paris?,"Sure, let's go over the details.",anger,commissive,relationship
What are your plans for the weekend?,"I'm really sorry, something came up.",happiness,inform,work
"I am thinking of learning a new language, any suggestions?","If we push hard, we definitely can.",surprise,inform,relationship
What are your plans for the weekend?,"I'm really sorry, something came up.",happiness,commissive,politics
Why didn't you call me back last night?,"I'm really sorry, something came up.",anger,inform,tourism
Can we talk about that project now?,"I'm thinking of a road trip, actually.",disgust,directive,tourism
What's been bothering you lately?,"I'm not sure, maybe it's just stress.",anger,directive,school life
What are your plans for the weekend?,"I'm thinking of a road trip, actually.",surprise,commissive,relationship
What are your plans for the weekend?,"If we push hard, we definitely can.",fear,question,politics
What's been bothering you lately?,"If we push hard, we definitely can.",surprise,question,culture & education
What are your plans for the weekend?,"If we push hard, we definitely can.",surprise,commissive,politics
Can we talk about that project now?,"Yes, it's beautiful! You should definitely visit.",sadness,commissive,relationship
What's been bothering you lately?,"I'm not sure, maybe it's just stress.",disgust,question,work
What's been bothering you lately?,"If we push hard, we definitely can.",sadness,commissive,ordinary life
Could you share your thoughts on the recent elections?,"Yes, it's beautiful! You should definitely visit.",anger,directive,relationship
Do you think we'll finish this task on time?,"I'm really sorry, something came up.",happiness,question,work
Could you share your thoughts on the recent elections?,"I'm really sorry, something came up.",happiness,inform,health
Could you share your thoughts on the recent elections?,"I'm really sorry, something came up.",happiness,commissive,school life
"I heard you got a new job, how is it going?",It's challenging but rewarding.,disgust,directive,culture & education
Can we talk about that project now?,"I'm thinking of a road trip, actually.",sadness,directive,ordinary life
"I heard you got a new job, how is it going?","I'm not sure, maybe it's just stress.",surprise,commissive,tourism
"I heard you got a new job, how is it going?","I'm not sure, maybe it's just stress.",fear,commissive,attitude & emotion
Why didn't you call me back last night?,"I'm thinking of a road trip, actually.",surprise,directive,relationship
"I am thinking of learning a new language, any suggestions?","Sure, let's go over the details.",happiness,question,work
Can we talk about that project now?,"If we push hard, we definitely can.",happiness,commissive,school life
Do you think we'll finish this task on time?,"I'm thinking of a road trip, actually.",happiness,directive,relationship
What are your plans for the weekend?,I've just had a lot on my mind recently.,sadness,commissive,culture & education
Can we talk about that project now?,"I'm really sorry, something came up.",disgust,inform,attitude & emotion
"I am thinking of learning a new language, any suggestions?",It's challenging but rewarding.,disgust,question,work
Have you ever been to Paris?,"If we push hard, we definitely can.",sadness,question,ordinary life
What are your plans for the weekend?,"Sure, let's go over the details.",anger,question,politics
What's been bothering you lately?,"Honestly, I think it's going to change a lot of things.",happiness,inform,relationship
Can we talk about that project now?,I've just had a lot on my mind recently.,happiness,commissive,work
Can we talk about that project now?,"I'm not sure, maybe it's just stress.",fear,inform,tourism
Why do you seem so distant these days?,"I'm really sorry, something came up.",sadness,question,ordinary life
Have you ever been to Paris?,"Yes, it's beautiful! You should definitely visit.",anger,question,attitude & emotion
What are your plans for the weekend?,"Sure, let's go over the details.",surprise,directive,school life
What are your plans for the weekend?,It's challenging but rewarding.,anger,question,school life
Do you think we'll finish this task on time?,I'd say start with something like Spanish.,disgust,inform,health
What's been bothering you lately?,I've just had a lot on my mind recently.,happiness,question,tourism
Could you share your thoughts on the recent elections?,"Yes, it's beautiful! You should definitely visit.",anger,inform,politics
Could you share your thoughts on the recent elections?,It's challenging but rewarding.,disgust,question,school life
Why didn't you call me back last night?,"Sure, let's go over the details.",surprise,commissive,ordinary life
"I heard you got a new job, how is it going?",It's challenging but rewarding.,happiness,directive,culture & education
Do you think we'll finish this task on time?,"Sure, let's go over the details.",sadness,inform,finance
What are your plans for the weekend?,"I'm thinking of a road trip, actually.",sadness,directive,tourism
Why do you seem so distant these days?,"Yes, it's beautiful! You should definitely visit.",surprise,inform,attitude & emotion
Can we talk about that project now?,"I'm not sure, maybe it's just stress.",sadness,inform,work
Why didn't you call me back last night?,"Honestly, I think it's going to change a lot of things.",anger,directive,finance
